,date,open,close,high,low,volume,code
0,2004-01-02,17.2,0.2504222972972973,18.0,17.03,18637.93,600037
1,2004-01-05,17.66,0.2654138513513513,18.4,17.61,27940.46,600037
2,2004-01-06,18.41,0.2633023648648649,18.57,18.0,28207.87,600037
3,2004-01-07,18.28,0.2717483108108108,18.75,18.02,20267.95,600037
4,2004-01-08,18.7,0.2833614864864865,19.65,18.51,24088.24,600037
5,2004-01-09,19.25,0.2795608108108108,19.88,19.03,23437.0,600037
6,2004-01-12,19.1,0.27322635135135137,19.1,18.45,17745.66,600037
7,2004-01-13,18.85,0.27597128378378377,19.12,18.58,10707.13,600037
8,2004-01-14,18.7,0.26773648648648646,18.86,18.49,9668.47,600037
9,2004-01-15,18.45,0.2592905405405405,18.65,18.08,13025.04,600037
10,2004-01-16,19.2,0.2975084459459459,19.9,18.9,21257.77,600037
11,2004-01-29,21.0,0.33298141891891886,21.89,21.0,52085.95,600037
12,2004-01-30,21.48,0.32052364864864863,21.48,20.86,37769.77,600037
13,2004-02-02,23.09,0.33023648648648646,23.09,21.1,35871.4,600037
14,2004-02-03,21.55,0.32706925675675674,21.64,21.08,13951.79,600037
15,2004-02-04,21.38,0.33340371621621623,21.8,21.21,12153.95,600037
16,2004-02-05,21.65,0.3435388513513513,22.63,21.65,18774.21,600037
17,2004-02-06,22.08,0.33868243243243246,22.55,21.72,21478.1,600037
18,2004-02-09,22.0,0.3543074324324324,22.85,21.9,22772.79,600037
19,2004-02-10,22.65,0.340160472972973,22.78,21.88,21236.7,600037
20,2004-02-11,21.95,0.3388935810810811,22.05,21.4,18304.13,600037
21,2004-02-12,21.78,0.33657094594594594,22.35,21.73,13252.49,600037
22,2004-02-13,20.08,0.3298141891891892,21.69,20.08,34618.56,600037
23,2004-02-16,21.3,0.3342483108108108,21.86,21.23,19009.27,600037
24,2004-02-17,21.66,0.35029560810810806,22.45,21.65,29021.92,600037
25,2004-02-18,22.95,0.3589527027027027,24.5,22.75,58739.67,600037
26,2004-02-19,22.6,0.3416385135135135,22.88,21.96,33061.81,600037
27,2004-02-20,21.75,0.34184966216216217,22.06,21.43,18115.5,600037
28,2004-02-23,22.0,0.3277027027027027,22.1,21.28,13900.32,600037
29,2004-02-24,21.2,0.33086993243243246,21.5,20.71,17551.97,600037
30,2004-02-25,21.47,0.3188344594594595,21.78,20.85,9891.6,600037
