,date,open,close,high,low,volume,code
0,2004-01-02,9.8,0.4765807962529275,10.18,9.41,9115.89,000982
1,2004-01-05,9.5,0.48594847775175654,10.37,9.5,2775.32,000982
2,2004-01-06,10.28,0.5187353629976581,11.0,10.25,3623.24,000982
3,2004-01-07,10.8,0.5421545667447307,11.3,10.65,4642.79,000982
4,2004-01-08,11.26,0.5743559718969555,11.9,11.23,5296.58,000982
5,2004-01-09,11.82,0.5591334894613583,11.83,11.52,1687.0,000982
6,2004-01-12,11.49,0.5644028103044497,11.66,11.49,1748.94,000982
7,2004-01-13,11.8,0.5638173302107728,12.01,11.6,2451.08,000982
8,2004-01-14,11.64,0.553864168618267,11.8,11.45,1953.0,000982
9,2004-01-15,11.48,0.5409836065573771,11.5,11.21,1437.68,000982
10,2004-01-16,11.24,0.5456674473067916,11.35,11.23,734.6,000982
11,2004-01-29,11.3,0.5515222482435598,11.44,11.3,1329.05,000982
12,2004-01-30,11.43,0.544496487119438,11.46,11.26,1048.9,000982
13,2004-02-02,11.28,0.5503512880562061,11.45,11.28,2078.05,000982
14,2004-02-03,11.39,0.5427400468384075,11.4,10.82,729.66,000982
15,2004-02-04,11.31,0.5327868852459017,11.38,11.01,1162.5,000982
16,2004-02-05,11.11,0.544496487119438,11.33,11.08,921.0,000982
17,2004-02-06,11.35,0.610655737704918,12.43,11.35,4575.83,000982
18,2004-02-09,12.6,0.6036299765807963,12.79,12.1,1687.31,000982
19,2004-02-10,12.32,0.5860655737704918,12.32,11.86,1939.82,000982
20,2004-02-11,12.01,0.5802107728337237,12.01,11.7,857.4,000982
21,2004-02-12,11.75,0.5889929742388759,12.13,11.7,1124.0,000982
22,2004-02-13,11.85,0.5614754098360656,11.87,11.58,896.0,000982
23,2004-02-16,11.6,0.5708430913348946,11.75,11.48,833.0,000982
24,2004-02-17,11.8,0.5667447306791569,11.82,11.65,771.88,000982
25,2004-02-18,11.7,0.5942622950819673,12.15,11.6,1504.04,000982
26,2004-02-19,12.2,0.5802107728337237,12.2,11.88,1092.88,000982
27,2004-02-20,11.91,0.5790398126463701,12.0,11.88,802.98,000982
28,2004-02-23,11.89,0.5784543325526933,12.2,11.8,1180.27,000982
29,2004-02-24,11.86,0.5649882903981265,12.04,11.62,878.0,000982
30,2004-02-25,11.88,0.5690866510538642,12.32,11.7,1228.01,000982
31,2004-02-26,11.6,0.5556206088992974,11.79,11.11,955.09,000982
32,2004-02-27,11.45,0.5608899297423888,11.59,11.25,573.7,000982
33,2004-03-01,11.68,0.5679156908665105,11.7,11.42,327.38,000982
34,2004-03-02,11.8,0.5737704918032788,11.91,11.6,653.0,000982
35,2004-03-03,11.82,0.569672131147541,11.82,11.6,370.91,000982
36,2004-03-04,11.5,0.560304449648712,11.73,11.5,590.0,000982
37,2004-03-05,11.56,0.5690866510538642,11.72,11.56,311.95,000982
38,2004-03-08,11.88,0.5655737704918034,11.88,11.51,344.36,000982
39,2004-03-09,11.53,0.5562060889929743,11.64,11.5,439.01,000982
40,2004-03-10,11.58,0.5579625292740047,11.64,11.4,413.99,000982
41,2004-03-11,11.56,0.5585480093676815,11.56,11.4,696.07,000982
42,2004-03-12,11.46,0.5802107728337237,12.0,11.46,885.05,000982
43,2004-03-15,11.91,0.6100702576112412,12.53,11.91,2533.74,000982
