,date,open,close,high,low,volume,code
0,2004-01-02,5.78,0.3892100192678227,6.01,5.78,17139.99,600747
1,2004-01-05,5.85,0.39884393063583823,6.0,5.76,44261.37,600747
2,2004-01-06,6.05,0.42870905587668595,6.34,6.05,95873.61,600747
3,2004-01-07,6.29,0.43256262042389204,6.34,6.22,64877.19,600747
4,2004-01-08,6.31,0.43834296724470134,6.5,6.2,93272.26,600747
5,2004-01-09,6.4,0.42292870905587676,6.49,6.22,62583.96,600747
6,2004-01-12,6.2,0.44605009633911363,6.48,6.19,63065.94,600747
7,2004-01-13,6.5,0.4672447013487476,6.76,6.5,106892.2,600747
8,2004-01-14,6.71,0.45183044315992293,6.72,6.48,36817.24,600747
9,2004-01-15,6.53,0.43834296724470134,6.6,6.34,29369.52,600747
10,2004-01-16,6.38,0.47591522157996147,6.84,6.38,104947.45,600747
11,2004-01-29,6.88,0.5269749518304431,7.4,6.88,103713.72,600747
12,2004-01-30,7.35,0.5057803468208092,7.38,7.0,73695.69,600747
13,2004-02-02,7.37,0.5154142581888247,7.4,6.91,74381.96,600747
14,2004-02-03,7.1,0.5211946050096339,7.33,7.02,52225.61,600747
15,2004-02-04,7.33,0.55009633911368,7.68,7.33,131694.74,600747
16,2004-02-05,7.55,0.5539499036608863,7.65,7.38,87659.25,600747
17,2004-02-06,7.5,0.5423892100192678,7.97,7.34,89358.2,600747
18,2004-02-09,7.45,0.546242774566474,7.58,7.42,46296.5,600747
19,2004-02-10,7.5,0.5366088631984586,7.56,7.35,57912.17,600747
20,2004-02-11,7.4,0.5443159922928709,7.5,7.15,66808.5,600747
21,2004-02-12,7.5,0.5549132947976878,7.67,7.42,87525.37,600747
22,2004-02-13,7.62,0.5645472061657033,7.75,7.5,90886.96,600747
23,2004-02-16,7.81,0.5857418111753372,7.94,7.74,192279.36,600747
24,2004-02-17,7.92,0.5915221579961465,8.05,7.88,95005.16,600747
25,2004-02-18,7.98,0.5934489402697495,8.01,7.85,83682.34,600747
26,2004-02-19,8.0,0.5712909441233139,8.01,7.75,55453.68,600747
27,2004-02-20,7.76,0.5732177263969171,7.8,7.58,63314.15,600747
28,2004-02-23,7.75,0.5491329479768786,7.76,7.48,52761.16,600747
29,2004-02-24,7.4,0.5481695568400771,7.65,7.28,65165.67,600747
30,2004-02-25,7.5,0.5183044315992292,7.6,7.2,35341.5,600747
31,2004-02-26,7.15,0.5115606936416185,7.3,7.08,37794.21,600747
32,2004-02-27,7.18,0.5240847784200385,7.29,7.18,25535.96,600747
33,2004-03-01,7.26,0.5298651252408477,7.36,7.11,28229.22,600747
34,2004-03-02,7.34,0.5443159922928709,7.58,7.26,55567.52,600747
35,2004-03-03,7.54,0.5327552986512524,7.64,7.35,68007.08,600747
36,2004-03-04,7.34,0.5375722543352601,7.43,7.2,33846.02,600747
37,2004-03-05,7.42,0.5260115606936415,7.46,7.24,18627.91,600747
38,2004-03-08,7.25,0.5240847784200385,7.38,7.11,32267.97,600747
39,2004-03-09,7.28,0.51252408477842,7.32,7.09,19975.32,600747
40,2004-03-10,7.2,0.5240847784200385,7.28,7.1,18748.31,600747
41,2004-03-11,7.28,0.5240847784200385,7.35,7.2,19799.78,600747
42,2004-03-12,7.28,0.5308285163776493,7.42,7.25,25673.89,600747
43,2004-03-15,7.38,0.5452793834296724,7.55,7.29,36641.42,600747
44,2004-03-16,7.52,0.5443159922928709,7.61,7.37,30508.08,600747
45,2004-03-17,7.49,0.546242774566474,7.6,7.35,25409.0,600747
46,2004-03-18,7.52,0.5317919075144508,7.65,7.28,28196.24,600747
47,2004-03-19,7.3,0.5337186897880539,7.45,7.24,16551.76,600747
48,2004-03-22,7.45,0.546242774566474,7.52,7.3,34412.07,600747
49,2004-03-23,7.52,0.5539499036608863,7.7,7.38,89214.62,600747
50,2004-03-24,7.65,0.5606936416184971,7.79,7.53,71073.94,600747
51,2004-03-25,7.6,0.5549132947976878,7.7,7.49,23143.89,600747
52,2004-03-26,7.65,0.5722543352601156,7.8,7.6,82721.28,600747
53,2004-03-29,7.86,0.5635838150289018,7.94,7.68,81539.75,600747
54,2004-03-30,7.66,0.5626204238921001,7.75,7.5,31148.55,600747
55,2004-03-31,7.69,0.567437379576108,7.8,7.57,28031.45,600747
56,2004-04-01,7.8,0.5876685934489403,8.03,7.8,94431.8,600747
57,2004-04-02,7.95,0.5838150289017341,7.99,7.85,35478.93,600747
58,2004-04-05,7.9,0.5741811175337186,7.93,7.71,34442.56,600747
59,2004-04-06,7.78,0.5703275529865125,7.8,7.61,40550.35,600747
60,2004-04-07,7.76,0.5838150289017341,8.0,7.71,63469.71,600747
61,2004-04-08,7.91,0.6069364161849711,8.25,7.91,176353.67,600747
62,2004-04-09,8.14,0.5780346820809248,8.22,7.82,85155.25,600747
63,2004-04-12,7.84,0.5934489402697495,8.03,7.81,68703.51,600747
64,2004-04-13,8.03,0.6030828516377649,8.32,8.02,89508.16,600747
65,2004-04-14,8.1,0.5934489402697495,8.2,7.8,51011.68,600747
66,2004-04-15,8.0,0.5626204238921001,8.19,7.65,55065.85,600747
67,2004-04-16,7.68,0.5712909441233139,7.81,7.4,52225.37,600747
68,2004-04-19,7.74,0.5452793834296724,7.74,7.5,23006.0,600747
69,2004-04-20,7.49,0.5346820809248555,7.54,7.25,29170.86,600747
70,2004-04-21,7.37,0.5472061657032754,7.68,7.34,43281.46,600747
71,2004-04-22,7.49,0.5520231213872833,7.59,7.4,12431.78,600747
72,2004-04-23,7.57,0.5260115606936415,7.57,7.25,27793.4,600747
73,2004-04-26,7.32,0.535645472061657,7.47,7.28,15259.45,600747
74,2004-04-27,7.4,0.5423892100192678,7.65,7.35,28601.77,600747
75,2004-04-28,7.26,0.5346820809248555,7.62,7.25,21805.57,600747
76,2004-04-29,7.39,0.501926782273603,7.49,6.98,40669.04,600747
77,2004-04-30,7.1,0.5086705202312138,7.25,7.0,20250.96,600747
78,2004-05-10,7.15,0.49325626204238915,7.22,6.9,12681.1,600747
