,date,open,close,high,low,volume,code
0,2004-01-02,4.85,0.04129530600118836,5.06,4.82,13643.38,600675
1,2004-01-05,4.95,0.0421865715983363,5.01,4.91,18510.86,600675
2,2004-01-06,4.98,0.04545454545454544,5.09,4.92,31237.65,600675
3,2004-01-07,5.12,0.044860368389780136,5.19,5.04,25185.18,600675
4,2004-01-08,5.06,0.046345811051693414,5.12,5.01,28431.81,600675
5,2004-01-09,5.16,0.04604872251931075,5.24,5.08,32125.8,600675
6,2004-01-12,5.1,0.047831253713606664,5.16,5.07,17708.19,600675
7,2004-01-13,5.16,0.05199049316696375,5.3,5.12,38815.73,600675
8,2004-01-14,5.35,0.05614973262032086,5.55,5.32,87412.08,600675
9,2004-01-15,5.45,0.055258467023172914,5.49,5.32,31900.91,600675
10,2004-01-16,5.45,0.0600118835412953,5.69,5.45,59565.69,600675
11,2004-01-29,5.59,0.06446821152703505,5.74,5.58,31950.21,600675
12,2004-01-30,5.73,0.05941770647653,5.73,5.53,38459.85,600675
13,2004-02-02,5.58,0.06268568033273916,5.78,5.52,36629.39,600675
14,2004-02-03,5.68,0.06387403446226975,5.76,5.6,27054.1,600675
15,2004-02-04,5.7,0.07516339869281044,6.18,5.67,140127.81,600675
16,2004-02-05,6.1,0.07813428401663694,6.29,6.03,60543.16,600675
17,2004-02-06,6.12,0.07635175282234105,6.22,6.03,42161.38,600675
18,2004-02-09,6.12,0.0802139037433155,6.33,6.1,39088.63,600675
19,2004-02-10,6.25,0.08942364824717763,6.75,6.23,96915.9,600675
20,2004-02-11,6.54,0.08467023172905525,6.54,6.32,43253.79,600675
21,2004-02-12,6.4,0.08259061200237669,6.56,6.3,31592.09,600675
22,2004-02-13,6.38,0.08259061200237669,6.5,6.32,30653.47,600675
23,2004-02-16,6.34,0.0873440285204991,6.5,6.34,26664.53,600675
24,2004-02-17,6.5,0.08704693998811647,6.63,6.41,26327.87,600675
25,2004-02-18,6.48,0.0861556743909685,6.5,6.38,27535.47,600675
26,2004-02-19,6.45,0.08942364824717763,6.65,6.45,55399.62,600675
27,2004-02-20,6.6,0.09358288770053474,6.72,6.5,50761.06,600675
28,2004-02-23,6.7,0.08526440879382055,6.78,6.41,36940.98,600675
29,2004-02-24,6.4,0.08764111705288175,6.52,6.2,56808.63,600675
30,2004-02-25,6.5,0.0802139037433155,6.51,6.22,33675.48,600675
31,2004-02-26,6.2,0.077243018419489,6.28,6.13,23475.33,600675
32,2004-02-27,6.18,0.07902554961378488,6.23,6.14,13079.23,600675
