,date,open,close,high,low,volume,code
0,2004-01-02,7.05,0.1818524096385542,7.29,7.03,3230.15,600157
1,2004-01-05,7.1,0.18524096385542171,7.27,7.1,4530.89,600157
2,2004-01-06,7.19,0.17846385542168675,7.19,6.85,9370.27,600157
3,2004-01-07,7.0,0.17620481927710846,7.0,6.86,8194.23,600157
4,2004-01-08,6.93,0.17808734939759036,7.06,6.86,6693.41,600157
5,2004-01-09,7.0,0.19088855421686746,7.42,6.86,15547.29,600157
6,2004-01-12,7.49,0.19088855421686746,7.49,7.26,18140.01,600157
7,2004-01-13,7.35,0.20745481927710846,7.8,7.28,20582.22,600157
8,2004-01-14,7.78,0.19766566265060243,7.85,7.44,17739.72,600157
9,2004-01-15,7.47,0.19013554216867473,7.58,7.32,7969.51,600157
10,2004-01-16,7.35,0.1931475903614458,7.42,7.32,5058.22,600157
11,2004-01-29,7.45,0.19766566265060243,7.59,7.41,5906.83,600157
12,2004-01-30,7.56,0.1927710843373494,7.56,7.36,5847.22,600157
13,2004-02-02,7.5,0.20820783132530124,7.85,7.35,15124.27,600157
14,2004-02-03,7.81,0.21234939759036148,8.15,7.81,27248.32,600157
15,2004-02-04,7.85,0.2131024096385542,7.93,7.74,10840.03,600157
16,2004-02-05,7.98,0.21573795180722893,8.0,7.82,9523.68,600157
17,2004-02-06,8.04,0.20858433734939757,8.04,7.78,8144.96,600157
18,2004-02-09,7.81,0.21272590361445787,7.98,7.78,5992.12,600157
19,2004-02-10,7.9,0.21724397590361444,8.18,7.87,12775.68,600157
20,2004-02-11,8.04,0.21347891566265065,8.09,7.82,7258.55,600157
21,2004-02-12,7.92,0.2112198795180723,8.04,7.85,6249.77,600157
22,2004-02-13,7.88,0.204066265060241,7.91,7.63,7269.94,600157
23,2004-02-16,7.61,0.20896084337349402,7.83,7.61,4903.26,600157
24,2004-02-17,7.82,0.21272590361445787,7.94,7.79,6754.91,600157
25,2004-02-18,7.92,0.21837349397590367,8.1,7.82,12253.02,600157
26,2004-02-19,8.07,0.22100903614457834,8.15,7.95,14548.31,600157
27,2004-02-20,8.14,0.22326807228915663,8.23,8.05,10150.34,600157
28,2004-02-23,8.18,0.22100903614457834,8.19,8.02,13300.49,600157
29,2004-02-24,8.18,0.21875,8.3,7.89,20708.35,600157
30,2004-02-25,8.11,0.22816265060240964,8.4,8.02,30768.74,600157
31,2004-02-26,8.3,0.22515060240963858,8.3,8.01,14729.28,600157
32,2004-02-27,8.23,0.22326807228915663,8.27,8.07,8999.55,600157
33,2004-03-01,8.11,0.2300451807228916,8.45,8.11,17816.94,600157
34,2004-03-02,8.38,0.22853915662650603,8.38,8.17,9117.4,600157
35,2004-03-03,8.3,0.21423192771084337,8.3,7.93,9797.06,600157
36,2004-03-04,7.96,0.21009036144578314,7.96,7.71,9177.77,600157
37,2004-03-05,7.85,0.20670180722891568,7.93,7.75,5424.65,600157
38,2004-03-08,7.76,0.2003012048192771,7.85,7.57,5302.0,600157
39,2004-03-09,7.6,0.19954819277108438,7.75,7.55,3458.43,600157
40,2004-03-10,7.61,0.204066265060241,7.73,7.6,3311.67,600157
41,2004-03-11,7.75,0.20707831325301207,7.84,7.7,4806.05,600157
42,2004-03-15,7.81,0.21234939759036148,7.94,7.72,7790.52,600157
43,2004-03-16,7.92,0.21347891566265065,8.04,7.85,5938.55,600157
44,2004-03-17,7.9,0.21686746987951805,8.04,7.8,6804.76,600157
45,2004-03-18,8.04,0.21498493975903615,8.06,7.94,10607.69,600157
46,2004-03-19,7.97,0.21875,8.1,7.9,7488.76,600157
47,2004-03-22,8.1,0.22251506024096385,8.24,8.05,9877.4,600157
48,2004-03-23,8.2,0.2191265060240964,8.23,8.08,7403.38,600157
49,2004-03-24,8.11,0.22100903614457834,8.22,8.1,6767.58,600157
50,2004-03-25,8.22,0.21837349397590367,8.28,8.0,27250.3,600157
51,2004-03-26,8.09,0.21460843373493976,8.13,7.88,5379.72,600157
52,2004-03-29,7.95,0.20820783132530124,7.95,7.78,4222.4,600157
53,2004-03-30,7.87,0.2119728915662651,7.9,7.8,1940.98,600157
54,2004-03-31,7.93,0.21460843373493976,7.98,7.87,2853.17,600157
55,2004-04-01,8.0,0.21649096385542171,8.04,7.95,2915.6,600157
56,2004-04-02,8.02,0.2221385542168675,8.2,8.02,8891.02,600157
57,2004-04-05,8.21,0.2191265060240964,8.21,8.01,4046.22,600157
58,2004-04-06,8.05,0.22289156626506024,8.19,8.05,5163.17,600157
59,2004-04-07,8.22,0.22138554216867473,8.22,8.1,5399.59,600157
60,2004-04-08,8.15,0.21536144578313254,8.18,7.97,5501.42,600157
61,2004-04-09,7.95,0.20933734939759036,7.99,7.8,5590.22,600157
62,2004-04-12,7.83,0.2063253012048193,7.83,7.6,4375.65,600157
63,2004-04-13,7.78,0.204066265060241,7.84,7.69,2813.0,600157
