,bipsVp,busincomeVp,c_name,code,epsVp,name,nprtVp,volVp
0,-0.002754615500628109,0.7116900227763019,金融行业,1,0.2329437940254656,平安银行,0.7122880274951396,0.7588756870130157
1,0.334372156755685,0.38693019643345905,房地产,5,0.31050163036930944,世纪星源,0.2844432379575774,0.7926976842404193
2,-0.08350243974538207,0.610072990012647,房地产,6,0.6006153567256054,深振业Ａ,0.6211493466479137,0.9465075138411215
3,0.19915531777102152,0.975867533229068,综合行业,8,0.02245917000866129,神州高铁,0.8903354878348255,0.9773531079014445
4,0.14610958148294065,0.09350141728257623,建筑建材,10,0.36504586693000785,美丽生态,0.33432661793410257,0.1392307598067176
5,-0.3255887197147081,0.3581192358697318,房地产,14,-0.2066579516871798,沙河股份,0.3343776689714632,0.4672652001660538
6,0.8295524555826553,0.970492250925285,纺织行业,18,0.7087523073126412,神州长城,0.9605258107932197,0.8934305677254545
7,0.1414785507396858,0.31847521570687726,食品行业,19,0.08189887556845075,深深宝Ａ,0.3732720555950139,0.9382504784668881
8,0.380618097749687,0.3806109973908327,电子器件,20,0.09842813456674873,深华发Ａ,0.09830994606563914,0.8205052808900002
9,0.3758628061557074,0.5921628196349499,电子信息,21,0.6503010512649463,深科技,0.19596278784308604,0.7975222701833417
10,0.5607102628857193,0.5534725801647868,交通运输,22,0.6213534829867763,深赤湾Ａ,0.2690297840838964,0.5248540494302062
11,-0.5331645427105723,-0.467853879608377,汽车制造,25,0.37614378499253304,特 力Ａ,0.45087667282961885,0.8503266640387132
12,0.4462025258670882,0.7074284259958032,商业百货,26,0.6109656948190538,飞亚达Ａ,0.759026254785055,0.6207189443614988
13,-0.08798467603580008,0.23453165533930292,电力行业,27,0.401532618580021,深圳能源,0.5498397915565066,0.8058078700359185
14,0.9214721582106244,0.953632149610953,商业百货,28,0.9411996239997157,国药一致,0.957071005796462,0.1666729562794257
15,-0.5374637492431348,0.6160816824972469,电子信息,32,-0.26265832059898336,深桑达Ａ,-0.048763267053886436,0.5559984191802894
16,0.09996360000895768,-0.04669882177163391,电力行业,37,0.3774202515769231,深南电A,0.3557791143288937,0.41657258598700564
17,-0.029852547489994323,0.7103521516982343,房地产,42,0.6083872096061449,中洲控股,0.639884108687928,0.7247986806617756
18,0.24809487732888014,0.7642821348391241,房地产,43,0.08565406474578824,中航地产,0.43523016931649017,0.9023701845746102
19,0.34113211366263313,0.561542977700888,纺织行业,45,-0.08481604083767724,深纺织Ａ,-0.11521156158633876,0.6113832762914185
20,0.5794490043181626,0.7067235408280735,房地产,46,0.5624731838351117,泛海控股,0.7270400036263502,0.6864700497524707
21,0.8054067558795972,0.9428832921267994,建筑建材,55,0.7446906175086986,方大集团,0.8581099695980571,0.6365033944402783
22,0.2069789237368789,0.2481227969811215,石油行业,59,0.35107569446670106,华锦股份,0.3779162484474116,0.6025364700365313
23,-0.04556796321677655,0.4295996637703172,有色金属,60,0.5431123902306272,中金岭南,0.24085808303841771,0.6635618281281174
24,-0.23749920760678625,-0.2695140272909465,电子器件,68,0.27298345244017813,华控赛格,0.2652825736810704,0.08642838092702484
25,-0.324159178081408,0.5541425227547476,酒店旅游,69,-0.08480899700486928,华侨城Ａ,0.5261688474794497,0.6123201018368414
26,0.39593990173487453,0.744802964709273,生物制药,78,0.5019980552071305,海王生物,0.7093543265117298,0.7613427844188196
27,0.6962188454160076,-0.07158572783658244,交通运输,88,0.7115630948918235,盐 田 港,0.014211497471006638,0.657888441404065
28,-0.48419667710033143,0.0491460528758826,交通运输,89,0.06211352395182326,深圳机场,0.14044425550014303,0.6943471744477855
29,0.17867093315965143,0.8468491092994327,建筑建材,90,0.1023138397112896,天健集团,0.6426364372771616,0.720745644564034
30,-0.3327257128682007,-0.388742642782961,石油行业,96,0.6730138419598112,广聚能源,0.6427288227476736,0.6733543382248439
31,0.6502345769819824,0.7823136966401327,交通运输,99,0.352340796438333,中信海直,0.4983009272025568,0.8943870241788328
32,0.09745876595698529,0.705122000441978,家电行业,100,0.32102396934537497,TCL 集团,0.7124535833507126,0.7814126258764629
33,0.6545351330074305,0.7925732295758399,医疗器械,150,0.6193867928468777,宜华健康,0.637231599507335,0.374214947566678
34,0.801615414171656,0.9205599802904874,机械行业,157,0.832604969651866,中联重科,0.7650105037631126,0.49308286316107175
35,0.2624611308775207,0.7856374363665873,纺织行业,158,0.698262598479283,常山股份,0.8149336780008708,0.7836274842751632
36,-0.18307633924087263,-0.2278052577857385,综合行业,301,-0.17904919431352725,东方市场,0.10184678956305152,0.7864788889404076
37,0.5905618602629585,0.8123806643120991,发电设备,400,0.5088616930141826,许继电气,0.7786782321150866,0.6332511336691081
38,0.5540714159939455,0.5486784268155498,水泥行业,401,0.4536421462601447,冀东水泥,0.44244206519090856,0.32261407599714464
39,-0.3022101336830006,0.40001303878372474,房地产,402,0.6670018231842566,金 融 街,0.6140158858010487,0.7054335296474739
40,0.6315722150778121,0.6793086086341062,机械行业,404,0.5811644548342768,华意压缩,0.6040257379405672,0.6623703235138373
41,0.2806269717173048,0.7904184553224716,塑料制品,407,0.3613836990784441,胜利股份,-0.08025522515804044,0.8330676260560176
42,0.864484830553917,0.9105943300352847,商业百货,411,0.5029487526806624,英特集团,0.5882416592745563,0.6855816529687463
43,0.49761749338863553,0.9182109662006654,电子器件,413,0.709017453870969,东旭光电,0.9614505180261783,0.8850525978993227
44,0.11347972130355477,0.7228927955414955,金融行业,415,0.29095871939397133,渤海金控,0.78607055008819,0.9011061565288716
