,date,open,close,high,low,volume,code
0,2004-03-18,15.0,0.4126602564102564,15.22,13.45,217635.48,600463
1,2004-03-19,13.05,0.39903846153846156,13.33,12.91,64135.26,600463
2,2004-03-22,13.15,0.40384615384615385,13.37,13.1,30355.95,600463
3,2004-03-23,13.25,0.3970352564102564,13.25,12.92,23383.74,600463
4,2004-03-24,13.01,0.39943910256410253,13.29,13.01,16306.84,600463
5,2004-03-25,13.06,0.3938301282051282,13.16,12.98,15290.19,600463
6,2004-03-26,13.0,0.39623397435897434,13.22,12.98,13189.01,600463
7,2004-03-29,13.14,0.4042467948717948,13.37,13.01,19398.71,600463
8,2004-03-30,13.25,0.40544871794871795,13.52,13.22,22096.72,600463
9,2004-03-31,13.38,0.4034455128205128,13.44,13.17,12994.81,600463
10,2004-04-01,13.28,0.40584935897435903,13.4,13.15,17522.61,600463
11,2004-04-02,13.33,0.4026442307692307,13.37,13.22,12351.01,600463
12,2004-04-05,13.25,0.41506410256410264,13.58,13.16,28850.4,600463
13,2004-04-06,13.55,0.41306089743589747,13.58,13.33,16133.58,600463
14,2004-04-07,13.52,0.4094551282051282,13.54,13.27,16633.15,600463
15,2004-04-08,13.46,0.41506410256410264,13.68,13.46,31462.92,600463
16,2004-04-09,13.55,0.4106570512820512,13.82,13.37,30729.43,600463
17,2004-04-12,13.4,0.4042467948717948,13.54,13.1,12063.47,600463
18,2004-04-13,13.25,0.3970352564102564,13.37,13.1,10049.39,600463
19,2004-04-14,13.04,0.38020833333333337,13.15,12.57,17902.68,600463
20,2004-04-15,12.66,0.35857371794871795,12.77,12.12,17211.0,600463
21,2004-04-16,12.14,0.3653846153846154,12.4,12.01,8451.18,600463
22,2004-04-19,12.31,0.3421474358974359,12.34,11.71,13071.69,600463
23,2004-04-20,11.7,0.34334935897435903,11.86,11.56,8645.33,600463
24,2004-04-21,11.8,0.3465544871794872,12.0,11.72,7549.87,600463
25,2004-04-22,11.8,0.34334935897435903,11.81,11.65,6663.63,600463
26,2004-04-23,11.7,0.31450320512820507,11.78,11.03,14357.77,600463
27,2004-04-26,11.03,0.30528846153846156,11.19,10.78,8115.37,600463
28,2004-04-27,10.8,0.30088141025641024,10.94,10.65,6012.92,600463
29,2004-04-28,10.65,0.3108974358974359,11.08,10.57,8064.22,600463
30,2004-04-29,10.88,0.3012820512820513,10.93,10.62,5120.67,600463
31,2004-04-30,10.82,0.3004807692307693,10.85,10.51,4750.52,600463
32,2004-05-10,10.68,0.3012820512820513,10.78,10.6,4511.03,600463
33,2004-05-11,10.73,0.3104967948717948,10.94,10.73,5352.04,600463
34,2004-05-12,10.97,0.32251602564102566,11.28,10.88,8326.81,600463
35,2004-05-13,11.25,0.3201121794871795,11.3,11.01,4226.3,600463
36,2004-05-14,11.15,0.30208333333333337,11.2,10.68,4868.21,600463
37,2004-05-17,10.7,0.3028846153846154,10.76,10.56,2607.05,600463
38,2004-05-18,10.72,0.3108974358974359,10.98,10.7,3129.55,600463
39,2004-05-19,10.95,0.3044871794871795,10.99,10.79,4500.35,600463
40,2004-05-20,10.79,0.295673076923077,10.79,10.51,4596.64,600463
41,2004-05-21,10.56,0.28846153846153855,10.7,10.2,5546.19,600463
42,2004-05-24,10.25,0.27403846153846156,10.36,10.0,7514.06,600463
43,2004-05-25,10.0,0.2560096153846154,10.0,9.51,7459.18,600463
44,2004-05-27,9.58,0.2688301282051282,9.99,9.46,6466.37,600463
45,2004-05-28,9.9,0.26522435897435903,9.97,9.78,4598.3,600463
46,2004-05-31,9.82,0.2720352564102565,9.99,9.69,4370.52,600463
47,2004-06-01,9.96,0.31209935897435903,10.98,9.88,28735.13,600463
48,2004-06-02,11.12,0.32732371794871795,11.8,10.99,57109.19,600463
49,2004-06-03,11.3,0.3233173076923077,11.49,11.05,22189.15,600463
50,2004-06-04,11.19,0.33052884615384615,11.54,11.14,20883.84,600463
51,2004-06-07,11.51,0.3301282051282052,11.67,11.33,24572.19,600463
