,date,open,close,high,low,volume,code
0,2004-01-02,5.65,0.08454591068740593,5.75,5.3,879.79,000603
1,2004-01-05,5.49,0.08429503261414954,5.66,5.23,1543.54,000603
2,2004-01-06,5.46,0.08128449573507278,5.47,5.22,2396.6,000603
3,2004-01-07,5.37,0.08253888610135475,5.45,5.24,1821.3,000603
4,2004-01-08,5.36,0.08228800802809837,5.46,5.25,2911.43,000603
5,2004-01-09,5.37,0.08906171600602107,5.68,5.37,4661.27,000603
6,2004-01-12,5.79,0.0865529352734571,5.79,5.56,2007.0,000603
7,2004-01-13,5.52,0.0870546914199699,5.7,5.52,3532.56,000603
8,2004-01-14,5.65,0.09407927747114904,5.88,5.55,3943.21,000603
9,2004-01-15,5.98,0.09407927747114904,5.98,5.78,2396.5,000603
10,2004-01-16,5.88,0.09407927747114904,5.89,5.8,1901.13,000603
11,2004-01-30,6.15,0.10135474159558457,6.17,6.05,4386.79,000603
12,2004-02-02,6.32,0.1081284495735073,6.48,6.08,3479.97,000603
13,2004-02-03,6.31,0.10963371801304568,6.6,6.3,2595.33,000603
14,2004-02-04,6.41,0.11314601103863524,6.65,6.41,3008.3,000603
15,2004-02-05,6.64,0.11966884094330159,6.95,6.56,4586.95,000603
16,2004-02-06,6.89,0.11364776718514803,6.89,6.64,3814.5,000603
17,2004-02-09,6.67,0.11741093828399397,6.89,6.63,2056.89,000603
18,2004-02-10,6.81,0.11841445057701956,6.96,6.8,1908.31,000603
19,2004-02-11,6.85,0.12418464626191673,7.08,6.8,2328.78,000603
20,2004-02-12,7.08,0.1274460612142499,7.43,7.0,11523.15,000603
21,2004-02-13,7.19,0.12042147516307077,7.19,6.85,4713.3,000603
22,2004-02-16,6.92,0.1264425489212243,7.19,6.92,2138.98,000603
23,2004-02-17,7.18,0.12995484194681384,7.39,7.17,2641.8,000603
24,2004-02-18,7.32,0.1276969392875063,7.35,6.98,1547.0,000603
25,2004-02-19,7.06,0.13020572002007025,7.37,7.06,2175.0,000603
26,2004-02-20,7.35,0.13346713497240342,7.55,7.2,4173.62,000603
27,2004-02-23,7.45,0.13773206221776219,7.77,7.4,5955.94,000603
28,2004-02-24,7.56,0.1364776718514802,7.67,7.28,3045.74,000603
29,2004-02-25,7.43,0.14425489212242854,7.95,7.42,10613.04,000603
30,2004-02-26,7.76,0.13472152533868542,7.87,7.49,7253.27,000603
